Month,Years,Forward_Rate,MC_Mean,MC_Std,MC_P05,MC_P25,MC_P50,MC_P75,MC_P95
1,0.08333333333333333,4.021889304190226,4.021889304189808,4.1772141301521515e-13,4.021889304190226,4.021889304190226,4.021889304190226,4.021889304190226,4.021889304190226
2,0.16666666666666666,3.9652101142495213,3.966358352709192,0.19836965631272363,3.6439829614374823,3.8342605326779884,3.967923931720077,4.097839333011595,4.291750609920907
3,0.25,3.9085309243088435,3.907773702376579,0.2821031460227993,3.4367792763225746,3.723080923098386,3.9059253965750407,4.095421089199988,4.371170101756584
4,0.3333333333333333,3.7724964493202533,3.813624442732106,0.3438757687442095,3.25296314802912,3.5839128530579245,3.81043859916833,4.0428596035302045,4.386976936272971
5,0.4166666666666667,3.636461974331664,3.6809206163914983,0.39739731782753834,3.0209845600034306,3.4154006990705947,3.6780268841343755,3.9471020139166444,4.335447797039758
6,0.5,3.55710668928375,3.5696056171201773,0.44268335530796105,2.842838349993107,3.2722590943817034,3.5762999133674462,3.8646312087027854,4.302612981645911
7,0.5833333333333334,3.477751404235864,3.489099345474426,0.4861608611199889,2.6945658099779335,3.154248542877186,3.496236020185157,3.8121717256958307,4.288116918059304
8,0.6666666666666666,3.398396119187925,3.407753374881012,0.5249235195154661,2.540613063794624,3.060303187178381,3.4134291032620236,3.7606750761275385,4.2623756141756255
9,0.75,3.398396119187925,3.3674688167877656,0.5546125850788064,2.455144417155216,2.9961419630732906,3.3736367822055184,3.746676269716773,4.274995685199146
10,0.8333333333333334,3.313630487722532,3.3290782112265127,0.5875158301342236,2.3588800377657746,2.931461503041487,3.3408953501346565,3.7199053427821314,4.2900367627487865
11,0.9166666666666666,3.2288648562571645,3.24361449551547,0.6170050445211337,2.2094776850447766,2.837963059667102,3.2565147760591966,3.667740911644056,4.245531807831215
12,1.0,3.144099224791773,3.1617043527042026,0.6490066764667606,2.077516397113945,2.727214091934305,3.1649441690244196,3.600871488498478,4.217702244347041
13,1.0833333333333333,3.0593335933264334,3.0754645177444377,0.6751750117962866,1.969149318579162,2.6111151730016164,3.0812979751771046,3.5321526807363073,4.172632701541272
14,1.1666666666666667,2.9745679618610392,2.9961512341119203,0.70517944117619,1.8645113244446787,2.512022318847684,3.0036793199911753,3.469720331305252,4.144684335293458
15,1.25,2.974567961861066,2.9537686075698097,0.7260777426410114,1.7935072815435302,2.4445349181529767,2.9580371184390115,3.455289506258036,4.1512483357898065
16,1.3333333333333333,2.9745679618610676,2.9533972327402473,0.7564406468860249,1.7346827864191796,2.4401026211509613,2.942322293604507,3.4659888282880904,4.211779360442794
17,1.4166666666666667,2.974567961861066,2.9544105568650587,0.7882072934953456,1.6743484155763662,2.4240633747687768,2.9442288080175074,3.48215934539408,4.259758513020547
18,1.5,2.9745679618610392,2.956789568032266,0.8085298834055031,1.615665720858325,2.405950327484026,2.9575421213376183,3.4974510550799054,4.279248460929151
19,1.5833333333333333,2.974567961861041,2.9580236029772973,0.8379011450143503,1.5719980769082487,2.383062378340318,2.958331524660126,3.5108638602401543,4.355593878495194
20,1.6666666666666667,2.9745679618610392,2.960154109408448,0.8649935014311583,1.5383340148534006,2.364982760924679,2.966010920960748,3.5478515830313646,4.371986476434721
21,1.75,2.9745679618610126,2.9573603413667087,0.8891387285505675,1.4755805079419597,2.345991899514281,2.9546509649002974,3.577106555189623,4.4412684016229695
22,1.8333333333333333,2.9885624123951855,2.964810616596517,0.9111055310998647,1.4605116372706946,2.349589434746414,2.966351379684536,3.592400695370083,4.471525738232789
23,1.9166666666666667,3.0025568629293864,2.985158024721447,0.9339740389933416,1.4659257794503537,2.3501406431046936,2.9759736590242833,3.6354586575963763,4.506061009310224
24,2.0,3.016551313463558,3.000826543754383,0.9587793002929406,1.4147332946771718,2.366585028927032,2.990182421272493,3.6608656884765716,4.563343974500007
25,2.0833333333333335,3.0305457639977043,3.0173808483823996,0.9811746390204256,1.3960133831346455,2.373955844850045,3.014068417638494,3.688218275170159,4.613762102359572
26,2.1666666666666665,3.0445402145318785,3.0278962246216956,1.006861814252309,1.3844186212934284,2.353305813719726,3.0247889323497152,3.7179518140213164,4.672594574982934
27,2.25,3.044540214531905,3.0386262476176262,1.0293318027313942,1.3349958045955708,2.336055819295672,3.025331430243909,3.736139796196019,4.716606828059873
28,2.3333333333333335,3.044540214531875,3.040629162676678,1.0540432992081288,1.2995558532522051,2.3389445736872627,3.032265410980535,3.743355572721257,4.790331421593244
29,2.4166666666666665,3.0445402145318785,3.0434929659947176,1.0746485953287426,1.2637302840480857,2.3069494192056705,3.0384420397462497,3.7755557584919623,4.8411199877833635
30,2.5,3.0445402145318785,3.0421656167339655,1.0987047124864653,1.221481833195814,2.296635750397708,3.0377280443041963,3.789945687790856,4.8420154450094675
31,2.5833333333333335,3.044540214531875,3.047149487658855,1.1164458907803305,1.2084154140272247,2.288821970092475,3.047068508294089,3.7878938686144767,4.882321938887355
32,2.6666666666666665,3.044540214531852,3.048013492805098,1.1323010234583684,1.1981926975946877,2.2613407393818696,3.0601721833856383,3.8096327744445024,4.917773638912653
33,2.75,3.0445402145318785,3.049497146376741,1.1528900976690757,1.1550501807910583,2.2564235323750492,3.060040141683791,3.820537593604815,4.96569244545811
34,2.8333333333333335,3.084220384092497,3.0674858177362334,1.1752079999644771,1.1267454965487858,2.270694218326355,3.0725517664411504,3.8675890876253214,5.009327715828604
35,2.9166666666666665,3.1239005536530957,3.11091625296282,1.1997269369827417,1.170986458934963,2.2948746695528137,3.0968561222714097,3.900425125305666,5.121356675643597
36,3.0,3.1635807232137174,3.1538907036135253,1.2204395802746815,1.106743775089953,2.336007741548776,3.141784468148097,3.967564414050967,5.165780098383054
37,3.0833333333333335,3.203260892774336,3.199646554980802,1.2389298234712365,1.1240461042323402,2.3652066914755396,3.186009210406148,4.036168862486355,5.272504805209148
38,3.1666666666666665,3.242941062334935,3.237132954872557,1.255201088899641,1.1714177341158205,2.377989732149692,3.2245969996862938,4.088256888738654,5.315902856217248
39,3.25,3.242941062334908,3.2538689979479147,1.267873534962183,1.1875534053109287,2.3854033941816017,3.243666079265365,4.111594079977599,5.37226022481015
40,3.3333333333333335,3.2429410623349315,3.2592141819806693,1.281947701517469,1.1409768240786735,2.369553129919183,3.2490017239684565,4.124293415952521,5.396198107819609
41,3.4166666666666665,3.242941062334935,3.260703602057574,1.3043877020188717,1.123509609838765,2.351672725916034,3.2673465751386273,4.146052022984912,5.429346153505836
42,3.5,3.242941062334935,3.259425060176074,1.3209614033956465,1.0906046330730228,2.3424272929075514,3.2532616648430026,4.132077225132305,5.453638747941913
