Month,Years,Deterministic_Total,MC_Mean_Total,MC_P05_Stable,MC_P25,MC_P50,MC_P75,MC_P95,Analytical_Expected,Analytical_P05_Stable,Bifurcation_Total,Bifurcation_Stable,Bifurcation_NonStable
0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,559661.865234375,440338.134765625
1,0.08333333333333333,979497.406597777,979497.4065977568,979497.406597777,979497.406597777,979497.406597777,979497.406597777,979497.406597777,979497.4070338233,978817.6325714755,554841.6556542246,554841.6556542246,0.0
2,0.16666666666666666,959628.0554806425,959624.9381498419,958694.2619971184,959248.6719030207,959620.2911494311,960002.781693209,960547.5420871378,959628.0575915552,958004.4834238464,550050.1647621349,550050.1647621349,0.0
3,0.25,940363.7824919614,940363.5967232229,938339.0394034788,939529.7050722234,940368.8458447177,941170.4980328927,942407.273408652,940363.7882194469,937546.0449562102,545285.2377004097,545285.2377004097,0.0
4,0.3333333333333333,921893.3899492945,921783.2247616776,918476.0286986353,920417.5811287374,921787.6689854874,923131.5680683169,925155.367400451,921893.4018516834,917709.652526885,540544.8161549725,540544.8161549725,0.0
5,0.4166666666666667,904182.3619421282,903959.971632137,899151.9305961292,902018.5900873209,903996.2116332091,905870.1282751067,908675.3150894365,904182.383119505,898506.3006718317,535830.856658643,535830.856658643,0.0
6,0.5,887056.1267826719,886810.9671597176,880524.6075165472,884253.0991109677,886831.104200051,889346.7812670157,893060.5038167804,887056.1608054438,879792.9165906048,531147.8915260083,531147.8915260083,0.0
7,0.5833333333333334,870498.081013252,870236.0279989969,862379.8475333466,867028.9308255918,870240.4593953185,873460.7393677755,878121.6452458168,870498.131861932,861575.578292008,526500.2445371515,526500.2445371515,0.0
8,0.6666666666666666,854488.59951193,854217.4734243909,844806.9199163463,850356.6077043155,854167.9484971119,858083.7852690328,863831.884954064,854488.671523271,843852.0175571732,521889.8353401853,521889.8353401853,0.0
9,0.75,838797.2539490379,838616.6735037946,827412.5111023398,834053.263615324,838533.6143220807,843142.1017236876,849934.5513365845,838797.3517383948,826408.5964296529,517305.00902687653,517305.00902687653,0.0
10,0.8333333333333334,823598.5868453835,823398.5697804388,810449.0730429239,818137.3193515099,823317.4875936939,828594.555510425,836411.9343540003,823598.7152976622,809429.2108745675,512734.64095082396,512734.64095082396,0.0
11,0.9166666666666666,808853.7392990951,808639.5963423387,793913.1114141092,802523.970770848,808498.5809519815,814522.7647535702,823365.1053515223,808853.9035130889,792884.5796506609,508166.11919934116,508166.11919934116,0.0
12,1.0,794546.1607972027,794315.2584488469,777821.0659120377,787540.7565073618,794155.4617966934,800958.0296732672,810690.7681166469,794546.366052456,776765.8840644658,503600.40052809677,503600.40052809677,0.0
13,1.0833333333333333,780660.030941515,780419.6112731796,762354.2020761828,773013.4661888083,780248.4482705218,787672.3348728928,798519.9797991522,780660.2826687179,761045.2001742056,499038.4266895161,499038.4266895161,0.0
14,1.1666666666666667,767198.8376905854,766941.0936856503,747308.4341845099,758751.7994076768,766769.3638655023,774850.3155954459,786805.0298259258,767199.1414620385,745730.2171140357,494493.77799123054,494493.77799123054,0.0
15,1.25,753987.9145753894,753805.606750072,732612.3922912749,744850.5591184687,753668.7384838412,762396.856346689,775535.9276158618,753988.2759915643,730655.2926315865,489979.40653530764,489979.40653530764,0.0
16,1.3333333333333333,741040.0398288068,740934.5369740486,718054.6867319035,731251.0985918106,740754.7980708284,750186.4174274273,764384.5414584508,741040.4645595194,715837.5247325111,485507.64812509675,485507.64812509675,0.0
17,1.4166666666666667,728349.1802674857,728319.2839740919,703701.8796946438,717884.7646014452,728122.8615287994,738339.2222554834,753497.5768176126,728349.6740247499,701275.2455057196,481078.08266872755,481078.08266872755,0.0
